Timecode List:,00:00:10.000,00:00:20.000,00:00:21.000,00:00:22.000,00:00:23.000,00:00:24.000,00:00:28.000,00:00:29.000,00:00:30.000,00:00:37.000,00:00:40.000,00:00:42.000,00:00:44.000,00:00:45.000,00:00:50.000,00:00:51.000,00:00:52.000,00:00:56.000,00:01:00.000,00:01:02.000,00:01:05.000,00:01:10.000,00:01:16.000,00:01:20.000,00:01:23.000,00:01:30.000,00:01:32.000,00:01:38.000,00:01:40.000,00:01:44.000,00:01:48.000,00:01:50.000,00:01:55.000,00:01:58.000,00:02:00.000,00:02:01.000,00:02:02.000,00:02:03.000,00:02:04.000,00:02:10.000,00:02:18.000,00:02:20.000,00:02:22.000,00:02:23.000,00:02:24.000,00:02:28.000,00:02:30.000,00:02:32.000,00:02:34.000,00:02:37.000,00:02:40.000,00:02:41.000,00:02:47.000,00:02:48.000,00:02:49.000,00:02:50.000,00:02:53.000,00:02:58.000,00:03:00.000,00:03:02.000,00:03:03.000,00:03:07.000,00:03:09.000,00:03:10.000,00:03:11.000,00:03:17.000,00:03:18.000,00:03:19.000,00:03:20.000,00:03:25.000,00:03:30.000,00:03:40.000,00:03:48.000,00:03:50.000,00:03:52.000,00:03:54.000,00:03:58.000,00:04:00.000,00:04:10.000,00:04:11.000,00:04:15.000,00:04:16.000,00:04:19.000,00:04:20.000,00:04:30.000,00:04:40.000,00:04:41.000,00:04:42.000,00:04:43.000,00:04:44.000,00:04:45.000,00:04:47.000,00:04:48.000,00:04:50.000,00:04:57.000,00:05:00.000,00:05:02.000,00:05:03.000,00:05:04.000,00:05:05.000,00:05:07.000,00:05:08.000,00:05:09.000,00:05:10.000,00:05:11.000,00:05:12.000,00:05:16.000,00:05:19.000,00:05:20.000,00:05:21.000,00:05:28.000,00:05:30.000,00:05:35.000,00:05:38.000,00:05:40.000,00:05:49.000,00:05:50.000,00:05:52.000,00:05:58.000,00:06:00.000,00:06:01.000,00:06:04.000,00:06:05.000,00:06:09.000,00:06:10.000,00:06:12.000,00:06:17.000,00:06:18.000,00:06:20.000,00:06:21.000,00:06:22.000,00:06:23.000,00:06:24.000,00:06:25.000,00:06:26.000,00:06:27.000,00:06:28.000,00:06:29.000,00:06:30.000,00:06:40.000,00:06:41.000,00:06:42.000,00:06:43.000,00:06:44.000,00:06:48.000,00:06:49.000,00:06:50.000,00:06:51.000,00:06:52.000,00:06:55.000,00:06:58.000,00:06:59.000,00:07:00.000,00:07:06.000,00:07:10.000,00:07:11.000,00:07:16.000,00:07:19.000,00:07:20.000,00:07:23.000,00:07:30.000,00:07:37.000,00:07:40.000,00:07:41.000,00:07:42.000,00:07:49.000,00:07:50.000,00:07:52.000,00:08:00.000,00:08:10.000,00:08:12.000,00:08:14.000,00:08:15.000,00:08:20.000,00:08:24.000,00:08:26.000,00:08:28.000,00:08:30.000,00:08:32.000,00:08:33.000,00:08:34.000,00:08:35.000,00:08:36.000,00:08:37.000,00:08:38.000,00:08:39.000,00:08:40.000,00:08:50.000,00:08:51.000,00:08:52.000,00:08:53.000,00:08:54.000,00:08:55.000,00:08:56.000,00:08:59.000,00:09:00.000,00:09:10.000,00:09:11.000,00:09:12.000,00:09:13.000,00:09:16.000,00:09:17.000,00:09:18.000,00:09:20.000,00:09:30.000,00:09:32.000,00:09:39.000,00:09:40.000,00:09:47.000,00:09:48.000,00:09:49.000,00:09:50.000,00:09:52.000,00:09:59.000,00:10:00.000,00:10:10.000,00:10:13.000,00:10:14.000,00:10:15.000,00:10:16.000,00:10:18.000,00:10:19.000,00:10:20.000,00:10:21.000,00:10:22.000,00:10:23.000,00:10:24.000,00:10:26.000,00:10:30.000,00:10:40.000,00:10:42.000,00:10:44.000,00:10:45.000,00:10:47.000,00:10:49.000,00:10:50.000,00:10:51.000,00:10:52.000,00:10:53.000,00:10:54.000,00:10:55.000,00:11:00.000,00:11:01.000,00:11:02.000,00:11:04.000,00:11:10.000,00:11:14.000,00:11:15.000,00:11:16.000,00:11:17.000,00:11:18.000,00:11:19.000,00:11:20.000,00:11:21.000,00:11:22.000,00:11:23.000,00:11:24.000,00:11:25.000,00:11:26.000,00:11:27.000,00:11:30.000,00:11:32.000,00:11:34.000,00:11:36.000,00:11:37.000,00:11:38.000,00:11:39.000,00:11:40.000,00:11:41.000,00:11:42.000,00:11:43.000,00:11:44.000,00:11:45.000,00:11:46.000,00:11:47.000,00:11:48.000,00:11:49.000,00:11:50.000,00:11:51.000,00:11:56.000,00:12:00.000,00:12:05.000,00:12:10.000,00:12:17.000,00:12:19.000,00:12:20.000,00:12:30.000,00:12:32.000,00:12:33.000,00:12:40.000,00:12:42.000,00:12:43.000,00:12:44.000,00:12:45.000,00:12:46.000,00:12:47.000,00:12:48.000,00:12:49.000,00:12:50.000,00:12:52.000,00:12:58.000,00:12:59.000,00:13:00.000,00:13:02.000,00:13:03.000,00:13:04.000,00:13:06.000,00:13:08.000,00:13:09.000,00:13:10.000,00:13:11.000,00:13:13.000,00:13:15.000,00:13:16.000,00:13:19.000,00:13:20.000,00:13:22.000,00:13:23.000,00:13:24.000,00:13:26.000,00:13:30.000,00:13:32.000,00:13:40.000,00:13:47.000,00:13:49.000,00:13:51.000,00:13:52.000,00:13:54.000,00:13:56.000,00:13:57.000,00:13:58.000,00:13:59.000,00:14:00.000,00:14:01.000,00:14:02.000,00:14:03.000,00:14:04.000,00:14:05.000,00:14:06.000,00:14:07.000,00:14:08.000,00:14:09.000,00:14:12.000,00:14:13.000,00:14:14.000,00:14:15.000,00:14:18.000
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,10,00:00:10.000,10.000,10,00:00:10.000,10.000
2,10,00:00:10.000,10.000,20,00:00:20.000,20.000,10,00:00:10.000,10.000
3,20,00:00:20.000,20.000,21,00:00:21.000,21.000,1,00:00:01.000,1.000
4,21,00:00:21.000,21.000,22,00:00:22.000,22.000,1,00:00:01.000,1.000
5,22,00:00:22.000,22.000,23,00:00:23.000,23.000,1,00:00:01.000,1.000
6,23,00:00:23.000,23.000,24,00:00:24.000,24.000,1,00:00:01.000,1.000
7,24,00:00:24.000,24.000,28,00:00:28.000,28.000,4,00:00:04.000,4.000
8,28,00:00:28.000,28.000,29,00:00:29.000,29.000,1,00:00:01.000,1.000
9,29,00:00:29.000,29.000,30,00:00:30.000,30.000,1,00:00:01.000,1.000
10,30,00:00:30.000,30.000,37,00:00:37.000,37.000,7,00:00:07.000,7.000
11,37,00:00:37.000,37.000,40,00:00:40.000,40.000,3,00:00:03.000,3.000
12,40,00:00:40.000,40.000,42,00:00:42.000,42.000,2,00:00:02.000,2.000
13,42,00:00:42.000,42.000,44,00:00:44.000,44.000,2,00:00:02.000,2.000
14,44,00:00:44.000,44.000,45,00:00:45.000,45.000,1,00:00:01.000,1.000
15,45,00:00:45.000,45.000,50,00:00:50.000,50.000,5,00:00:05.000,5.000
16,50,00:00:50.000,50.000,51,00:00:51.000,51.000,1,00:00:01.000,1.000
17,51,00:00:51.000,51.000,52,00:00:52.000,52.000,1,00:00:01.000,1.000
18,52,00:00:52.000,52.000,56,00:00:56.000,56.000,4,00:00:04.000,4.000
19,56,00:00:56.000,56.000,60,00:01:00.000,60.000,4,00:00:04.000,4.000
20,60,00:01:00.000,60.000,62,00:01:02.000,62.000,2,00:00:02.000,2.000
21,62,00:01:02.000,62.000,65,00:01:05.000,65.000,3,00:00:03.000,3.000
22,65,00:01:05.000,65.000,70,00:01:10.000,70.000,5,00:00:05.000,5.000
23,70,00:01:10.000,70.000,76,00:01:16.000,76.000,6,00:00:06.000,6.000
24,76,00:01:16.000,76.000,80,00:01:20.000,80.000,4,00:00:04.000,4.000
25,80,00:01:20.000,80.000,83,00:01:23.000,83.000,3,00:00:03.000,3.000
26,83,00:01:23.000,83.000,90,00:01:30.000,90.000,7,00:00:07.000,7.000
27,90,00:01:30.000,90.000,92,00:01:32.000,92.000,2,00:00:02.000,2.000
28,92,00:01:32.000,92.000,98,00:01:38.000,98.000,6,00:00:06.000,6.000
29,98,00:01:38.000,98.000,100,00:01:40.000,100.000,2,00:00:02.000,2.000
30,100,00:01:40.000,100.000,104,00:01:44.000,104.000,4,00:00:04.000,4.000
31,104,00:01:44.000,104.000,108,00:01:48.000,108.000,4,00:00:04.000,4.000
32,108,00:01:48.000,108.000,110,00:01:50.000,110.000,2,00:00:02.000,2.000
33,110,00:01:50.000,110.000,115,00:01:55.000,115.000,5,00:00:05.000,5.000
34,115,00:01:55.000,115.000,118,00:01:58.000,118.000,3,00:00:03.000,3.000
35,118,00:01:58.000,118.000,120,00:02:00.000,120.000,2,00:00:02.000,2.000
36,120,00:02:00.000,120.000,121,00:02:01.000,121.000,1,00:00:01.000,1.000
37,121,00:02:01.000,121.000,122,00:02:02.000,122.000,1,00:00:01.000,1.000
38,122,00:02:02.000,122.000,123,00:02:03.000,123.000,1,00:00:01.000,1.000
39,123,00:02:03.000,123.000,124,00:02:04.000,124.000,1,00:00:01.000,1.000
40,124,00:02:04.000,124.000,130,00:02:10.000,130.000,6,00:00:06.000,6.000
41,130,00:02:10.000,130.000,138,00:02:18.000,138.000,8,00:00:08.000,8.000
42,138,00:02:18.000,138.000,140,00:02:20.000,140.000,2,00:00:02.000,2.000
43,140,00:02:20.000,140.000,142,00:02:22.000,142.000,2,00:00:02.000,2.000
44,142,00:02:22.000,142.000,143,00:02:23.000,143.000,1,00:00:01.000,1.000
45,143,00:02:23.000,143.000,144,00:02:24.000,144.000,1,00:00:01.000,1.000
46,144,00:02:24.000,144.000,148,00:02:28.000,148.000,4,00:00:04.000,4.000
47,148,00:02:28.000,148.000,150,00:02:30.000,150.000,2,00:00:02.000,2.000
48,150,00:02:30.000,150.000,152,00:02:32.000,152.000,2,00:00:02.000,2.000
49,152,00:02:32.000,152.000,154,00:02:34.000,154.000,2,00:00:02.000,2.000
50,154,00:02:34.000,154.000,157,00:02:37.000,157.000,3,00:00:03.000,3.000
51,157,00:02:37.000,157.000,160,00:02:40.000,160.000,3,00:00:03.000,3.000
52,160,00:02:40.000,160.000,161,00:02:41.000,161.000,1,00:00:01.000,1.000
53,161,00:02:41.000,161.000,167,00:02:47.000,167.000,6,00:00:06.000,6.000
54,167,00:02:47.000,167.000,168,00:02:48.000,168.000,1,00:00:01.000,1.000
55,168,00:02:48.000,168.000,169,00:02:49.000,169.000,1,00:00:01.000,1.000
56,169,00:02:49.000,169.000,170,00:02:50.000,170.000,1,00:00:01.000,1.000
57,170,00:02:50.000,170.000,173,00:02:53.000,173.000,3,00:00:03.000,3.000
58,173,00:02:53.000,173.000,178,00:02:58.000,178.000,5,00:00:05.000,5.000
59,178,00:02:58.000,178.000,180,00:03:00.000,180.000,2,00:00:02.000,2.000
60,180,00:03:00.000,180.000,182,00:03:02.000,182.000,2,00:00:02.000,2.000
61,182,00:03:02.000,182.000,183,00:03:03.000,183.000,1,00:00:01.000,1.000
62,183,00:03:03.000,183.000,187,00:03:07.000,187.000,4,00:00:04.000,4.000
63,187,00:03:07.000,187.000,189,00:03:09.000,189.000,2,00:00:02.000,2.000
64,189,00:03:09.000,189.000,190,00:03:10.000,190.000,1,00:00:01.000,1.000
65,190,00:03:10.000,190.000,191,00:03:11.000,191.000,1,00:00:01.000,1.000
