Timecode List:,00:00:10.000,00:00:13.000,00:00:17.000,00:00:19.000,00:00:20.000,00:00:24.000,00:00:25.000,00:00:26.000,00:00:29.000,00:00:30.000,00:00:32.000,00:00:35.000,00:00:39.000,00:00:42.000,00:00:46.000,00:00:49.000,00:00:53.000,00:00:59.000,00:01:03.000,00:01:04.000,00:01:05.000,00:01:06.000,00:01:09.000,00:01:10.000,00:01:11.000,00:01:12.000,00:01:13.000,00:01:14.000,00:01:15.000,00:01:16.000,00:01:17.000,00:01:18.000,00:01:19.000,00:01:20.000,00:01:21.000,00:01:22.000,00:01:23.000,00:01:24.000,00:01:25.000,00:01:26.000,00:01:29.000,00:01:32.000,00:01:36.000
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,10,00:00:10.000,10.000,10,00:00:10.000,10.000
2,10,00:00:10.000,10.000,13,00:00:13.000,13.000,3,00:00:03.000,3.000
3,13,00:00:13.000,13.000,17,00:00:17.000,17.000,4,00:00:04.000,4.000
4,17,00:00:17.000,17.000,19,00:00:19.000,19.000,2,00:00:02.000,2.000
5,19,00:00:19.000,19.000,20,00:00:20.000,20.000,1,00:00:01.000,1.000
6,20,00:00:20.000,20.000,24,00:00:24.000,24.000,4,00:00:04.000,4.000
7,24,00:00:24.000,24.000,25,00:00:25.000,25.000,1,00:00:01.000,1.000
8,25,00:00:25.000,25.000,26,00:00:26.000,26.000,1,00:00:01.000,1.000
9,26,00:00:26.000,26.000,29,00:00:29.000,29.000,3,00:00:03.000,3.000
10,29,00:00:29.000,29.000,30,00:00:30.000,30.000,1,00:00:01.000,1.000
11,30,00:00:30.000,30.000,32,00:00:32.000,32.000,2,00:00:02.000,2.000
12,32,00:00:32.000,32.000,35,00:00:35.000,35.000,3,00:00:03.000,3.000
13,35,00:00:35.000,35.000,39,00:00:39.000,39.000,4,00:00:04.000,4.000
14,39,00:00:39.000,39.000,42,00:00:42.000,42.000,3,00:00:03.000,3.000
15,42,00:00:42.000,42.000,46,00:00:46.000,46.000,4,00:00:04.000,4.000
16,46,00:00:46.000,46.000,49,00:00:49.000,49.000,3,00:00:03.000,3.000
17,49,00:00:49.000,49.000,53,00:00:53.000,53.000,4,00:00:04.000,4.000
18,53,00:00:53.000,53.000,59,00:00:59.000,59.000,6,00:00:06.000,6.000
19,59,00:00:59.000,59.000,63,00:01:03.000,63.000,4,00:00:04.000,4.000
20,63,00:01:03.000,63.000,64,00:01:04.000,64.000,1,00:00:01.000,1.000
21,64,00:01:04.000,64.000,65,00:01:05.000,65.000,1,00:00:01.000,1.000
22,65,00:01:05.000,65.000,66,00:01:06.000,66.000,1,00:00:01.000,1.000
23,66,00:01:06.000,66.000,69,00:01:09.000,69.000,3,00:00:03.000,3.000
24,69,00:01:09.000,69.000,70,00:01:10.000,70.000,1,00:00:01.000,1.000
25,70,00:01:10.000,70.000,71,00:01:11.000,71.000,1,00:00:01.000,1.000
26,71,00:01:11.000,71.000,72,00:01:12.000,72.000,1,00:00:01.000,1.000
27,72,00:01:12.000,72.000,73,00:01:13.000,73.000,1,00:00:01.000,1.000
28,73,00:01:13.000,73.000,74,00:01:14.000,74.000,1,00:00:01.000,1.000
29,74,00:01:14.000,74.000,75,00:01:15.000,75.000,1,00:00:01.000,1.000
30,75,00:01:15.000,75.000,76,00:01:16.000,76.000,1,00:00:01.000,1.000
31,76,00:01:16.000,76.000,77,00:01:17.000,77.000,1,00:00:01.000,1.000
32,77,00:01:17.000,77.000,78,00:01:18.000,78.000,1,00:00:01.000,1.000
33,78,00:01:18.000,78.000,79,00:01:19.000,79.000,1,00:00:01.000,1.000
34,79,00:01:19.000,79.000,80,00:01:20.000,80.000,1,00:00:01.000,1.000
35,80,00:01:20.000,80.000,81,00:01:21.000,81.000,1,00:00:01.000,1.000
36,81,00:01:21.000,81.000,82,00:01:22.000,82.000,1,00:00:01.000,1.000
37,82,00:01:22.000,82.000,83,00:01:23.000,83.000,1,00:00:01.000,1.000
38,83,00:01:23.000,83.000,84,00:01:24.000,84.000,1,00:00:01.000,1.000
39,84,00:01:24.000,84.000,85,00:01:25.000,85.000,1,00:00:01.000,1.000
40,85,00:01:25.000,85.000,86,00:01:26.000,86.000,1,00:00:01.000,1.000
41,86,00:01:26.000,86.000,89,00:01:29.000,89.000,3,00:00:03.000,3.000
42,89,00:01:29.000,89.000,92,00:01:32.000,92.000,3,00:00:03.000,3.000
43,92,00:01:32.000,92.000,96,00:01:36.000,96.000,4,00:00:04.000,4.000
44,96,00:01:36.000,96.000,99,00:01:39.000,99.000,3,00:00:03.000,3.000
